eval_id,rater_id,rater_position,rating,response_length,query_complexity,domain,true_quality,difficulty
1,10,1,5,long,simple,creative,4,1
1,14,2,3,long,simple,creative,4,1
1,2,3,3,long,simple,creative,4,1
2,12,1,3,long,moderate,technical,3,1
2,11,2,3,long,moderate,technical,3,1
2,6,3,3,long,moderate,technical,3,1
3,3,1,2,medium,simple,opinion,1,2
3,4,2,2,medium,simple,opinion,1,2
3,11,3,1,medium,simple,opinion,1,2
4,10,1,5,long,complex,creative,4,2
4,7,2,4,long,complex,creative,4,2
4,4,3,3,long,complex,creative,4,2
5,10,1,4,short,moderate,creative,3,1
5,7,2,3,short,moderate,creative,3,1
5,11,3,3,short,moderate,creative,3,1
6,10,1,1,short,moderate,opinion,2,2
6,7,2,2,short,moderate,opinion,2,2
6,1,3,2,short,moderate,opinion,2,2
7,13,1,3,short,complex,opinion,3,3
7,11,2,3,short,complex,opinion,3,3
7,10,3,3,short,complex,opinion,3,3
8,2,1,5,medium,complex,creative,5,2
8,13,2,5,medium,complex,creative,5,2
8,12,3,5,medium,complex,creative,5,2
9,4,1,2,short,moderate,factual,2,1
9,7,2,2,short,moderate,factual,2,1
9,3,3,1,short,moderate,factual,2,1
10,9,1,5,short,simple,technical,5,1
10,5,2,5,short,simple,technical,5,1
10,10,3,5,short,simple,technical,5,1
11,13,1,3,medium,moderate,factual,3,1
11,12,2,4,medium,moderate,factual,3,1
11,7,3,2,medium,moderate,factual,3,1
12,6,1,1,short,complex,factual,2,2
12,9,2,1,short,complex,factual,2,2
12,10,3,3,short,complex,factual,2,2
13,12,1,3,long,moderate,technical,3,1
13,7,2,2,long,moderate,technical,3,1
13,14,3,3,long,moderate,technical,3,1
14,9,1,3,medium,moderate,opinion,3,2
14,2,2,1,medium,moderate,opinion,3,2
14,1,3,1,medium,moderate,opinion,3,2
15,15,1,1,medium,moderate,factual,1,1
15,4,2,1,medium,moderate,factual,1,1
15,3,3,1,medium,moderate,factual,1,1
16,9,1,1,long,simple,creative,1,1
16,15,2,2,long,simple,creative,1,1
16,10,3,1,long,simple,creative,1,1
17,8,1,1,long,moderate,factual,1,1
17,15,2,2,long,moderate,factual,1,1
17,11,3,1,long,moderate,factual,1,1
18,1,1,4,medium,moderate,opinion,4,2
18,3,2,5,medium,moderate,opinion,4,2
18,6,3,5,medium,moderate,opinion,4,2
19,4,1,5,medium,simple,opinion,4,2
19,12,2,5,medium,simple,opinion,4,2
19,5,3,3,medium,simple,opinion,4,2
20,3,1,1,short,moderate,creative,1,1
