eval_id,rater_1,rater_2,rater_3,response_length,query_complexity,domain,true_quality
1,5,3,3,long,simple,creative,4
2,3,3,3,long,moderate,technical,3
3,2,2,1,medium,simple,opinion,1
4,5,4,3,long,complex,creative,4
5,4,3,3,short,moderate,creative,3
6,1,2,2,short,moderate,opinion,2
7,3,3,3,short,complex,opinion,3
8,5,5,5,medium,complex,creative,5
9,2,2,1,short,moderate,factual,2
10,5,5,5,short,simple,technical,5
11,3,4,2,medium,moderate,factual,3
12,1,1,3,short,complex,factual,2
13,3,2,3,long,moderate,technical,3
14,3,1,1,medium,moderate,opinion,3
15,1,1,1,medium,moderate,factual,1
16,1,2,1,long,simple,creative,1
17,1,2,1,long,moderate,factual,1
18,4,5,5,medium,moderate,opinion,4
19,5,5,3,medium,simple,opinion,4
20,1,1,2,short,moderate,creative,1
21,5,5,5,long,simple,technical,5
22,4,5,5,medium,moderate,technical,5
23,2,1,2,long,moderate,technical,1
24,3,2,2,long,moderate,factual,2
25,4,3,2,medium,moderate,creative,3
26,1,2,1,short,moderate,opinion,1
27,4,2,2,medium,moderate,factual,3
28,1,1,2,long,moderate,technical,1
29,3,1,3,medium,simple,opinion,2
30,5,5,4,long,simple,creative,5
31,5,5,4,short,simple,factual,5
32,1,1,1,long,moderate,factual,1
33,1,1,1,medium,moderate,factual,1
34,2,4,5,short,moderate,factual,4
35,1,1,1,medium,moderate,factual,1
36,3,2,4,long,complex,factual,3
37,5,5,5,medium,simple,technical,5
38,4,5,3,medium,complex,factual,3
39,4,4,3,long,moderate,technical,4
40,4,4,3,short,moderate,factual,4
41,3,5,3,medium,simple,creative,4
42,1,2,1,medium,moderate,factual,1
43,3,3,3,medium,moderate,technical,3
44,5,2,5,long,complex,opinion,4
45,4,2,3,medium,complex,creative,4
46,5,4,4,long,moderate,opinion,4
47,3,2,2,long,complex,creative,2
48,4,4,3,short,simple,factual,4
49,5,5,5,long,simple,technical,5
50,5,5,5,short,moderate,technical,5
51,3,4,3,medium,simple,opinion,4
52,4,1,3,medium,moderate,opinion,2
53,1,2,2,medium,moderate,factual,2
54,3,2,4,short,complex,opinion,2
55,4,5,5,medium,moderate,opinion,5
56,5,5,4,short,simple,opinion,5
57,5,3,3,short,complex,factual,4
58,5,4,5,medium,complex,opinion,5
59,2,1,1,medium,moderate,factual,1
60,3,5,5,short,moderate,technical,5
61,5,5,4,short,moderate,opinion,5
62,1,2,3,long,simple,factual,2
63,1,1,1,short,moderate,technical,1
64,3,3,1,short,moderate,technical,3
65,4,3,3,long,moderate,opinion,4
66,2,3,2,medium,complex,creative,2
67,3,2,3,medium,simple,technical,3
68,5,4,4,long,moderate,factual,5
69,1,3,2,short,moderate,factual,2
70,2,2,3,medium,complex,creative,3
71,4,2,5,medium,complex,technical,4
72,4,4,4,medium,moderate,opinion,4
73,1,2,1,medium,moderate,creative,2
